Order_ID,Customer_ID,Customer_Name,Product_Name,Category,Sub_Category,Region,State,City,Order_Date,Quantity,Sales,Profit,Discount
ORD82,CUST2324,Bethany Price,Notebook,Office Supplies,Notebook,East,South Carolina,Brandonton,2025-02-09,2,1886.53,108.39,0.26
ORD83,CUST9912,April Baker,Chair,Furniture,Chair,East,New Mexico,Joshuamouth,2026-05-31,8,1210.82,354.95,0.45
ORD84,CUST9866,Stephanie Watkins,Laptop,Technology,Laptop,North,Georgia,Mikaylaside,2025-06-24,3,4076.03,984.27,0.35
ORD85,CUST9621,Kelly Torres,Mouse,Technology,Mouse,East,Delaware,Lowefort,2024-08-14,9,3485.33,873.97,0.21
ORD86,CUST7767,John Vang,Pen,Office Supplies,Pen,North,Iowa,Crawfordstad,2024-12-04,1,4107.54,440.64,0.04
ORD87,CUST2118,Michael Martinez,Mouse,Technology,Mouse,South,Indiana,Jonesmouth,2024-09-15,2,4990.42,1242.01,0.44
ORD88,CUST2891,Stanley Tran,Monitor,Technology,Monitor,South,Nevada,Lake Pennychester,2024-05-23,7,765.58,126.1,0.25
ORD89,CUST5869,Raven Reid,Mouse,Technology,Mouse,East,Tennessee,Nicolestad,2023-09-05,8,4891.67,581.26,0.3
ORD90,CUST3345,Marissa Duncan,Sofa,Furniture,Sofa,South,Utah,Elizabethfort,2025-01-06,3,318.7,92.31,0.16
ORD91,CUST7885,Katherine Gallegos,Monitor,Technology,Monitor,South,Kansas,Michaelburgh,2024-11-22,3,1066.69,109.05,0.36
ORD92,CUST9713,Daniel Gross,Pen,Office Supplies,Pen,West,Utah,South Andrea,2024-09-21,4,3749.41,203.99,0.36
ORD93,CUST5473,Daniel Richardson,Monitor,Technology,Monitor,South,Nebraska,Lake Aprilbury,2025-02-08,7,3883.67,605.41,0.24
ORD94,CUST1638,David Glover,Notebook,Office Supplies,Notebook,East,Connecticut,Figueroastad,2023-07-23,8,4684.79,1218.07,0.13
ORD95,CUST6496,Natasha Scott,Folder,Office Supplies,Folder,East,New Hampshire,South Kathryn,2026-01-14,6,4763.23,248.15,0.11
ORD96,CUST9356,Alicia Sanchez,Table,Furniture,Table,East,Utah,Port Lisa,2024-09-11,6,4210.54,1221.23,0.29
ORD97,CUST6973,Jay Jones,Table,Furniture,Table,East,Montana,Erinport,2023-07-20,6,4985.08,457.03,0.45
ORD98,CUST2664,Tyler Franklin,Printer Paper,Office Supplies,Printer Paper,West,Rhode Island,Jonesstad,2023-12-07,4,2548.89,544.69,0.27
ORD99,CUST4153,Carrie Green,Table,Furniture,Table,West,Minnesota,Garrisonborough,2024-05-09,3,2186.83,456.21,0.39
ORD100,CUST3505,Joseph Chapman,Table,Furniture,Table,West,Nevada,North Lisaside,2023-11-26,9,117.77,15.52,0.22
ORD101,CUST1691,Lorraine Bailey,Chair,Furniture,Chair,North,Idaho,Hunttown,2026-03-04,5,391.71,27.53,0.45
ORD102,CUST5605,Caitlin Richardson,Laptop,Technology,Laptop,North,Oregon,West Nicholas,2025-07-08,3,4098.22,998.06,0.32
ORD103,CUST2580,Juan Vaughn,Mouse,Technology,Mouse,West,Florida,East Benjaminburgh,2026-03-28,8,526.01,38.85,0.05
ORD104,CUST4901,Amy Cole,Sofa,Furniture,Sofa,East,Hawaii,West Alexanderside,2024-05-09,9,4545.95,727.41,0.18
ORD105,CUST3936,William Potter,Table,Furniture,Table,East,Utah,Carrollburgh,2026-03-19,3,4665.56,284.12,0.4
ORD106,CUST2131,Dr. Gloria Walker,Notebook,Office Supplies,Notebook,North,Oregon,West Andrea,2024-10-22,5,3215.89,632.58,0.12
ORD107,CUST2148,Adam Garza,Folder,Office Supplies,Folder,East,Utah,North Devinmouth,2026-04-29,1,356.27,86.56,0.5
ORD108,CUST8474,Donna Johnson,Notebook,Office Supplies,Notebook,East,Indiana,Lowefort,2025-06-10,10,3572.27,616.67,0.25
ORD109,CUST6694,David Holloway,Laptop,Technology,Laptop,North,Mississippi,North Edward,2023-08-09,4,3681.11,857.73,0.41
ORD110,CUST8054,Melissa Stanley,Sofa,Furniture,Sofa,East,West Virginia,South Jesseport,2025-07-09,7,637.68,157.7,0.02
ORD111,CUST1362,Sarah Smith,Laptop,Technology,Laptop,East,Kansas,Paynechester,2025-11-06,6,189.73,18.54,0.44
ORD112,CUST4560,Lauren Diaz,Printer Paper,Office Supplies,Printer Paper,North,West Virginia,New Troyburgh,2025-06-02,1,1254.98,263.42,0.48
ORD113,CUST6906,Randy Cooper,Printer Paper,Office Supplies,Printer Paper,West,Vermont,West Brian,2024-04-05,6,3706.81,984.76,0.3
ORD114,CUST2851,Emily Jackson,Printer Paper,Office Supplies,Printer Paper,West,Maryland,Smithmouth,2025-10-20,2,1031.9,303.65,0.39
ORD115,CUST7748,Steven Evans,Laptop,Technology,Laptop,West,West Virginia,Beckyville,2025-01-21,1,3919.06,363.46,0.25
ORD116,CUST8447,Henry Hayes,Printer Paper,Office Supplies,Printer Paper,East,Utah,North Scottberg,2023-10-27,8,3847.6,835.88,0.25
ORD117,CUST3657,Samuel Case,Printer Paper,Office Supplies,Printer Paper,West,Rhode Island,New Sara,2024-01-14,6,1052.87,231.61,0.02
ORD118,CUST9478,Victoria Richard,Mouse,Technology,Mouse,East,Iowa,Loriview,2023-06-28,7,826.88,43.78,0.08
ORD119,CUST4210,Sandra Miller,Pen,Office Supplies,Pen,West,Vermont,Mcbridechester,2024-10-31,5,3469.94,534.11,0.31
ORD120,CUST3377,Colleen Sullivan,Notebook,Office Supplies,Notebook,East,Pennsylvania,Bethtown,2026-01-20,3,2769.81,697.4,0.0
ORD121,CUST6517,Brittany Hunter,Folder,Office Supplies,Folder,South,Wisconsin,West Heathershire,2024-03-01,8,3823.14,767.75,0.07
ORD122,CUST8060,Justin Pace,Table,Furniture,Table,West,Nevada,Antonioport,2026-03-25,8,3250.87,545.08,0.47
ORD123,CUST3350,Richard Massey,Chair,Furniture,Chair,North,North Dakota,North Zacharytown,2026-05-24,10,1824.77,294.58,0.36
ORD124,CUST1644,Chase Knox,Chair,Furniture,Chair,South,Arkansas,Williamview,2025-05-02,10,437.93,104.56,0.03
ORD125,CUST1626,Ashley Anderson,Table,Furniture,Table,North,Indiana,New Justin,2023-09-13,10,538.52,105.43,0.31
ORD126,CUST1291,Kimberly Lopez,Printer Paper,Office Supplies,Printer Paper,South,Oklahoma,Port Aaron,2024-01-03,6,3118.97,527.21,0.19
ORD127,CUST8807,Emily Escobar,Pen,Office Supplies,Pen,East,West Virginia,Lake Tanyaview,2025-10-28,6,2335.37,251.8,0.46
ORD128,CUST7194,Debbie Forbes,Notebook,Office Supplies,Notebook,North,Minnesota,Christopherstad,2024-02-15,4,4381.18,793.99,0.44
ORD129,CUST2668,Leah Rogers,Laptop,Technology,Laptop,West,Wisconsin,Emilychester,2025-01-06,6,2664.0,632.69,0.08
ORD130,CUST1804,Heidi Harrison,Keyboard,Technology,Keyboard,North,Oregon,Smithmouth,2023-07-02,2,4875.42,1090.23,0.44
ORD131,CUST2649,Jennifer Singh,Monitor,Technology,Monitor,East,West Virginia,East John,2025-10-23,5,2307.53,115.92,0.09
ORD132,CUST4294,David Hughes,Monitor,Technology,Monitor,East,South Carolina,Carlsonville,2024-09-10,1,2877.98,706.99,0.48
ORD133,CUST6929,Mrs. Elizabeth Wilson,Monitor,Technology,Monitor,East,Missouri,Lake Cassandra,2024-10-31,4,2422.23,159.18,0.17
ORD134,CUST9079,Karen Miller,Table,Furniture,Table,East,Maryland,Basstown,2025-03-09,8,1918.41,326.7,0.31
ORD135,CUST6107,Jeffrey Miller,Notebook,Office Supplies,Notebook,West,Ohio,Floresville,2023-10-29,4,1375.51,193.19,0.45
ORD136,CUST8089,Gregory Smith III,Sofa,Furniture,Sofa,North,Maryland,Leblancberg,2024-03-07,7,2761.59,693.7,0.01
ORD137,CUST1068,Mr. Mark Serrano,Table,Furniture,Table,West,Iowa,Greeneberg,2024-08-23,4,4025.73,275.09,0.44
ORD138,CUST8139,Jacob Morales,Mouse,Technology,Mouse,East,North Carolina,Kimberlyport,2026-03-23,6,2832.21,335.59,0.03
ORD139,CUST3996,Tyrone Campbell,Keyboard,Technology,Keyboard,North,Pennsylvania,Lake Matthewburgh,2025-12-30,1,2341.52,575.12,0.41
ORD140,CUST9259,Stephen Griffin,Printer Paper,Office Supplies,Printer Paper,North,Oregon,Blevinsfort,2023-11-05,10,4556.85,1072.05,0.22
ORD141,CUST6137,William Marshall,Chair,Furniture,Chair,West,Oklahoma,Schneidermouth,2025-11-07,10,2931.36,866.72,0.3
ORD142,CUST3764,David Parker,Desk,Furniture,Desk,West,Utah,New Mark,2025-03-25,5,4906.07,1398.06,0.41
ORD143,CUST1187,Mr. Manuel Morgan,Laptop,Technology,Laptop,North,New Hampshire,Kevinside,2024-08-24,5,4508.65,1000.11,0.11
ORD144,CUST2944,Scott Brown,Laptop,Technology,Laptop,North,Ohio,East Laurenberg,2024-06-15,1,1585.84,331.82,0.27
ORD145,CUST6670,Richard Rodriguez,Table,Furniture,Table,South,Alabama,East Gina,2026-02-09,10,612.03,165.4,0.36
ORD146,CUST5489,Nicholas Mcgrath,Notebook,Office Supplies,Notebook,South,Kentucky,South Briannaview,2025-09-12,2,4932.75,1422.6,0.43
ORD147,CUST2414,John Wilson,Chair,Furniture,Chair,East,Florida,West Samantha,2025-06-22,10,3231.11,579.34,0.24
ORD148,CUST4691,Alexander Davis,Sofa,Furniture,Sofa,North,Vermont,Elijahmouth,2024-09-20,8,3731.75,964.34,0.21
ORD149,CUST1514,Karen White,Monitor,Technology,Monitor,North,Connecticut,New Matthew,2025-04-07,4,2273.3,503.47,0.03
ORD150,CUST7925,Amy Mcconnell,Keyboard,Technology,Keyboard,West,Connecticut,Port Heatherton,2025-04-30,2,2487.75,611.99,0.13
ORD151,CUST5684,Kevin Warren,Notebook,Office Supplies,Notebook,North,Georgia,North Stacey,2025-07-13,3,3392.43,859.92,0.24
ORD152,CUST7526,David Nguyen,Mouse,Technology,Mouse,East,Kansas,Hernandezhaven,2025-07-10,7,1922.17,298.04,0.24
ORD153,CUST5200,Amber Roberts,Desk,Furniture,Desk,East,Kansas,New Michelle,2023-10-21,4,3115.91,374.51,0.5
ORD154,CUST2926,Megan Mullins,Notebook,Office Supplies,Notebook,South,South Dakota,Robertmouth,2025-01-31,5,2077.5,380.52,0.25
ORD155,CUST5619,April Harris,Table,Furniture,Table,West,Ohio,Suarezberg,2025-05-14,3,2353.18,157.98,0.14
ORD156,CUST9302,Louis Jackson,Notebook,Office Supplies,Notebook,North,North Carolina,Clarkton,2025-08-08,1,2418.78,229.82,0.04
ORD157,CUST9566,Joshua Gibson,Sofa,Furniture,Sofa,North,West Virginia,Gomezburgh,2025-11-11,5,3870.37,544.66,0.05
ORD158,CUST4317,Erica Arnold,Pen,Office Supplies,Pen,South,Alabama,Ayalaberg,2025-06-25,6,1270.63,286.66,0.34
ORD159,CUST4721,Amber Gutierrez,Table,Furniture,Table,East,Arkansas,East Shelleyport,2025-01-02,7,3679.21,1005.39,0.16
ORD160,CUST4264,Randy Walls,Keyboard,Technology,Keyboard,West,Missouri,Williamsside,2025-01-23,9,3573.73,582.31,0.41
ORD161,CUST5537,Lisa Pearson MD,Notebook,Office Supplies,Notebook,West,Washington,Lake Amber,2026-04-05,7,4302.28,349.12,0.29
ORD162,CUST7364,Michael Pena,Printer Paper,Office Supplies,Printer Paper,North,Connecticut,Lake Johnstad,2024-04-20,5,1638.43,434.18,0.33
ORD163,CUST8538,Brandi Alexander,Pen,Office Supplies,Pen,West,Idaho,New Douglas,2025-03-26,4,4544.6,511.43,0.06
ORD164,CUST1518,Richard Norman,Keyboard,Technology,Keyboard,South,Connecticut,South Sharonshire,2025-04-16,10,3734.88,426.17,0.42
ORD165,CUST5721,Sarah Robinson,Monitor,Technology,Monitor,West,New York,Hughesport,2025-01-07,3,2010.35,355.86,0.36
ORD166,CUST3558,Kent Richard,Pen,Office Supplies,Pen,South,New Hampshire,Catherinefurt,2025-12-12,6,3287.95,895.01,0.4
ORD167,CUST3685,Lisa Foster,Table,Furniture,Table,North,Louisiana,Wrightside,2026-05-13,7,3966.5,202.67,0.25
ORD168,CUST1732,Allison Tucker,Monitor,Technology,Monitor,South,New York,East Erin,2025-10-17,4,475.75,53.24,0.2
ORD169,CUST4844,James Hancock,Table,Furniture,Table,South,Mississippi,West Colleen,2024-03-19,1,4266.62,1222.49,0.34
ORD170,CUST9831,Kristen Hamilton,Mouse,Technology,Mouse,West,Maine,West Edwinmouth,2023-10-11,2,3784.06,912.21,0.01
ORD171,CUST4148,Jennifer Garcia,Notebook,Office Supplies,Notebook,West,Virginia,North Phillip,2024-05-25,2,3718.9,287.65,0.32
ORD172,CUST9903,Michael Davis,Mouse,Technology,Mouse,East,Washington,Aprilport,2025-10-01,5,4318.76,573.15,0.04
ORD173,CUST8833,Dr. Teresa Taylor,Notebook,Office Supplies,Notebook,South,Montana,Santiagoport,2024-10-26,8,4866.5,1288.1,0.2
ORD174,CUST1113,Carlos Fisher,Folder,Office Supplies,Folder,North,Illinois,New Markmouth,2023-12-10,1,2278.61,473.66,0.4
ORD175,CUST3872,Jennifer Bernard,Printer Paper,Office Supplies,Printer Paper,West,Tennessee,Powersburgh,2025-12-01,9,793.54,232.61,0.43
ORD176,CUST5205,Sarah Mejia,Table,Furniture,Table,East,Arizona,Kimberlybury,2025-08-23,8,4718.76,531.5,0.44
ORD177,CUST6249,Mindy Brown,Notebook,Office Supplies,Notebook,West,Texas,Floreshaven,2025-08-20,5,4639.85,240.27,0.26
ORD178,CUST4736,Mary Larson,Laptop,Technology,Laptop,South,Missouri,West Matthewfurt,2025-02-16,5,3513.97,719.61,0.49
ORD179,CUST4377,Ethan Clarke,Sofa,Furniture,Sofa,East,Pennsylvania,Harmonstad,2024-04-28,2,523.18,125.74,0.36
ORD180,CUST9409,George Ferguson,Mouse,Technology,Mouse,East,Virginia,South Jasonfort,2024-02-22,7,3005.1,706.84,0.31
ORD181,CUST3193,Sarah Lane,Table,Furniture,Table,West,Michigan,North Jamie,2023-11-22,8,3148.15,589.39,0.14
ORD182,CUST6315,Jaime Mora,Chair,Furniture,Chair,North,Hawaii,Lake Shellyview,2026-02-25,3,4279.51,639.71,0.35
ORD183,CUST3205,Roy Parks,Folder,Office Supplies,Folder,South,Wisconsin,North Kathrynville,2026-06-03,10,2195.99,182.38,0.23
ORD184,CUST4656,Kristin Tran,Keyboard,Technology,Keyboard,West,North Carolina,North Melody,2025-08-31,2,3095.02,326.75,0.28
ORD185,CUST6835,Adam Jackson,Printer Paper,Office Supplies,Printer Paper,West,Wyoming,Odombury,2024-01-22,1,409.57,76.68,0.01
ORD186,CUST9888,Paul Salazar,Pen,Office Supplies,Pen,North,Alabama,Alexmouth,2024-02-12,1,2366.54,319.62,0.15
ORD187,CUST1085,Kathryn Pratt,Sofa,Furniture,Sofa,North,Alaska,Justinmouth,2023-12-04,10,2182.57,519.61,0.48
ORD188,CUST8211,Aaron Ruiz,Laptop,Technology,Laptop,North,Utah,Rochaton,2025-09-04,3,1455.3,169.11,0.23
ORD189,CUST4950,Emily Reid,Desk,Furniture,Desk,West,Louisiana,North Tasha,2026-03-11,4,3199.0,809.5,0.13
ORD190,CUST3284,Morgan Spencer,Chair,Furniture,Chair,North,Utah,Michaelberg,2023-08-09,2,1600.66,319.01,0.15
ORD191,CUST2695,Adrian Diaz,Desk,Furniture,Desk,West,Oklahoma,Nicholasberg,2024-08-06,3,1571.97,437.53,0.41
ORD192,CUST3491,Scott Austin,Table,Furniture,Table,East,Georgia,Jenniferfort,2024-11-09,5,809.93,131.02,0.41
ORD193,CUST2546,John Schneider,Chair,Furniture,Chair,East,Illinois,Sarafort,2024-01-22,5,4361.53,953.15,0.35
ORD194,CUST4389,Cindy Baker,Pen,Office Supplies,Pen,South,Kentucky,Mariaside,2024-07-09,7,4543.49,591.94,0.13
ORD195,CUST1255,Raymond Owens,Printer Paper,Office Supplies,Printer Paper,West,Minnesota,Shannonville,2023-10-21,10,3181.6,603.66,0.48
ORD196,CUST2890,John Duncan,Monitor,Technology,Monitor,North,Florida,East Joseside,2025-02-23,6,2917.15,188.96,0.31
